state,county,agency,ORI9,source,note
Texas,Liberty County,Liberty County Constable Precinct 6,TX1461200,leaic:CONSTABLE'S OFFICE PCT 6 CLEVELAND,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Maverick County,Maverick County Constable Precinct 2,TX1620300,leaic:CONSTABLE'S OFFICE PCT 2 EL INDIO,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Guadalupe County,New Berlin Marshal's Office,TX0941600,txdps-ear:CITY OF NEW BERLIN MARSHALS OFFICE,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); added 2026-09-26"
Texas,Nueces County,Nueces County Constable Precinct 2,TX1781400,txdps-ear:NUECES CO CONSTABLE'S OFF PCT 2 CORPUS CHRISTI,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); LEAIC lists the precinct with ORI -1; added 2026-09-26"
Texas,Nueces County,Nueces County Constable Precinct 3,TX1780900,leaic:CONSTABLE'S OFFICE PCT 3 BISHOP,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Nueces County,Nueces County Constable Precinct 4,TX1781300,txdps-ear:NUECES CO CONSTABLE'S OFFICE PCT 4 PORT ARANSAS,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); LEAIC lists the precinct with ORI -1; added 2026-09-26"
Texas,Nueces County,Nueces County Constable Precinct 5,TX1781100,leaic:CONSTABLE'S OFFICE PCT 5 ROBSTOWN,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Parker County,Parker County (County) Attorney's Office,TX184013A,txdps-ear:COUNTY ATTORNEY'S OFFICE WEATHERFORD,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); added 2026-09-26"
Texas,Parker County,Parker County District Attorney's Office,TX184015A,txdps-ear:DISTRICT ATTORNEYS OFFICE PARKER COUNTY,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); added 2026-09-26"
Texas,Rusk County,Rusk County Constable Precinct 3,TX2010700,leaic:CONSTABLE'S OFFICE PCT 3 TATUM,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Bexar County,Saint Hedwig Marshal's Office,TX0157100,crime:Saint Hedwig Police Department,town marshal is the town police
Texas,Gonzales County,Smiley City Marshal's Office,TX0891000,crime:Smiley Police Department,town marshal is the town police; LEAIC lists the older ORI TX0890300
Texas,Wilson County,Stockdale Marshal's Office,TX2470900,txdps-ear:STOCKDALE CITY MARSHAL'S OFFICE,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); added 2026-09-26"
Texas,,Texas Department of Public Safety - Texas Highway Patrol,TX0000000,leaic:TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS statewide parent ORI
Texas,,Texas Department of Public Safety- Criminal Investigations Division,TX0000000,leaic:TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS statewide parent ORI
Texas,,Texas National Guard,TX2273700,txdps-ear:TX MILITARY FORCES NATL GUARD PROVOST MARSHAL,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); the Guard's one ORI (Provost Marshal, Camp Mabry; also LEAIC). Division-named: blank it if the whole-agency rule should apply; added 2026-09-26"
Texas,,Texas Office of the Attorney General,TX2273200,txdps-ear:TX OFF OF ATTY GENERAL CRIMINAL INVST,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); the office's one law-enforcement ORI (Criminal Investigations Division, Austin; also LEAIC); its other ORIs are Medicaid-fraud and child-support units. Division-named: blank it if the whole-agency rule should apply; added 2026-09-26"
Texas,Trinity County,Trinity County Constable Precinct 2,TX2280300,leaic:CONSTABLE'S OFFICE PCT 2 TRINITY,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Trinity County,Trinity County Constable Precinct 4,TX2280500,leaic:CONSTABLE'S OFFICE PCT 4 APPLE SPRINGS,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Texas,Walker County,Walker County Constable Pct 3,TX2360500,leaic:CONSTABLE'S OFFICE PCT 3 RIVERSIDE,"LEAIC names the precinct without its county, so no key matched; the ORI is filed under this county and precinct (audit 2026-09-13)"
Utah,,Utah Department of Corrections,UT0185000,crime:Utah Department of Corrections Law Enforcement Bureau,DOC law enforcement bureau. Inactive: CDE matches this agency on the prefix tier with the same ORI (audit 2026-09-14)
Virginia,,"Rappahannock, Shenandoah, Warren Regional Jail Authority",,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Virginia,,Southwest Virginia Regional Jail Authority,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Virginia,Henrico County,Virginia Department of Wildlife Resources,VA1220500,leaic/crime:VIRGINIA DEPARTMENT GAME AND INLAND FISHERIES,"the Department of Game and Inland Fisheries was renamed Wildlife Resources in 2020 (audit 2026-09-13)"
Virginia,,Virginia Marine Resources Commission,VA1160300,"crime:Virginia Marine Resources Commission, Law Enforcement Division","its law enforcement division; the CDE name extends the sheet's. Inactive: CDE matches this agency on the prefix tier with the same ORI (audit 2026-09-14)"
West Virginia,,West Virginia Division of Corrections and Rehabilitation,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
West Virginia,,West Virginia National Guard,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Wyoming,Laramie County,Wyoming State Highway Patrol,WYWHP0000,leaic:WYOMING HIGHWAY PATROL,statewide parent ORI
New Hampshire,,Pittsburgh Police Department,NH0045200,leaic:PITTSBURG POLICE DEPARTMENT,ICE sheet misspells Pittsburg (Coos County NH) town PD
Alabama,Talladega County,"State Constable Office, Talladega County",,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Arkansas,Little River County,9th West Judicial District,,none,"MOA still pending, so the party is unconfirmed; LEAIC's AR0310300 (Ninth West Judicial District Drug Task Force, Nashville) applies only if the party is the drug task force; reviewed 2026-09-26"
Arkansas,Miller County,8th Judicial District South,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Arkansas,Pulaski County,6th Judicial District Prosecuting Attorney's Office,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Delaware,,Delaware Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
Florida,,"Office of the State Attorney, Sixth Judicial Circuit",FL051105A; FL052015A,fdle-ucr:Pasco County State Attorney's Office; Pinellas County State Attorney's Office,"FDLE's UCR agency list (fdle.state.fl.us/ucr/lecounts) files a state-attorney ORI per county; one ORI per county of the circuit in county order (Pasco, Pinellas; the main office is Clearwater, Pinellas); added 2026-09-26"
Georgia,Elbert County,Northern Judicial Circuit Probation Office,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Idaho,Ada County,Idaho Department of Correction,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
Indiana,Marion County,Indiana Office of Attorney General,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Kentucky,Bullitt County,Bullitt County Detention Center,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
Louisiana,East Baton Rouge Parish,Louisiana Department of Justice - Office of the Attorney General,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Louisiana,St. Mary Parish,Ward 6 Marshal's Office,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and no state ORI list found; reviewed 2026-09-26"
Maryland,Wicomico County,Wicomico County Corrections Center,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
Massachusetts,,Massachusetts Department of Correction,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
Mississippi,Benton County,Hickory Flat Police Department,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and no state ORI list found; reviewed 2026-09-26"
Missouri,Cole County,Missouri Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
Missouri,Greene County,COMET Drug Task Force,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and no state ORI list found; reviewed 2026-09-26"
Montana,Lewis And Clark County,Montana Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
Nevada,Carson City,Nevada Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
New Jersey,Hudson County,Hudson County Department of Corrections,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
New Mexico,,New Mexico Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
North Carolina,Pasquotank County,Albemarle District Jail,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
Oklahoma,Washington County,Caney Valley Public Schools Police Department,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and no state ORI list found; reviewed 2026-09-26"
Pennsylvania,Allegheny County,Office of Constable Monroeville 6th Ward,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Pennsylvania,Cambria County,Pennsylvania State Constables Office Cambria County,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Pennsylvania,Dauphin County,Derry Township Constable's Office,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Pennsylvania,Mercer County,South Pymatuning TWP State Constable,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Pennsylvania,Somerset County,Addison Borough Constable's Office,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Pennsylvania,Westmoreland County,Unity Township Constable Office,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
South Carolina,Richland County,South Carolina Department of Corrections,SCDOC0000,leaic:SC DEPT OF CORR COLUMBIA,"LEAIC prints the ORI with a zero for the letter O; its NCIC-sourced rows do that throughout (OK0BI0000, OH0HP0000 and OHC0P0000 there are OKOBI0000, OHOHP0000 and OHCOP0000 on the FBI's own roster), so the letter form is used. Agency-level (...0000) ORI; added 2026-09-26"
Tennessee,Bradley County,Bradley County Constable District 2,,none,"constables are not on the UCR rosters (LEAIC, LEAR, CDE) and Pennsylvania and Tennessee constables hold no NCIC terminal of their own; no public ORI source; reviewed 2026-09-26"
Tennessee,Cheatham County,23rd Judicial District Attorney's Office,,none,"prosecutor and other criminal-justice ORIs (...5A) appear only in state-published lists (Texas DPS, Oklahoma OSBI, FDLE) and none covers this agency; reviewed 2026-09-26"
Texas,Dimmit County,Dimmit County Constable Precinct 2,TX0640700,txdps-ear:DIMMIT COUNTY CONSTABLE PCT 2,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); CDE carries precincts 1&6, 3 and 4 but not 2; added 2026-09-26"
Texas,Galveston County,Galveston County District Attorney's Office,TX084015A,txdps-ear:DISTRICT ATTORNEY'S OFFICE GALVESTON,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); added 2026-09-26"
Texas,Maverick County,Maverick County Constable Precinct 3-2,TX1620800,txdps-ear:MAVERICK CO CONSTABLE'S OFFICE PCT 3 QUEMADO,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); DPS lists two Precinct 3 offices and the county's site (co.maverick.tx.us/government) seats Precinct 3-2 in Quemado and Precinct 3 in Eagle Pass (TX1620400); added 2026-09-26"
Texas,Maverick County,Maverick County Constable Precinct 4-1,TX1620600,txdps-ear:MAVERICK CO CONSTABLE'S OFFICE PCT 4 EAGLE PASS,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04); DPS and the county list one Precinct 4; added 2026-09-26"
Texas,Nolan County,32nd Judicial District Attorney's Office,TX076015A; TX168015A; TX177015A,txdps-ear:FISHER COUNTY DISTRICT ATTORNEY'S OFFICE; DISTRICT ATTORNEY'S OFFICE COLORADO CITY; DISTRICT ATTORNEYS OFFICE NOLAN COUNTY,"Texas DPS arresting-agency ORI list (dps.texas.gov/administration/crime_records/docs/cjis/arrestingagencyoris.xls, saved 2026-05-04) files a district-attorney ORI per county; one ORI per county of the district in county order (Fisher, Mitchell, Nolan; the office sits in Sweetwater, Nolan); added 2026-09-26"
Virginia,,Prince William-Manassas Regional Adult Detention Center,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
Virginia,,Prince William-Manassas Regional Jail,,none,"county and regional jails are not on the UCR rosters (LEAIC, LEAR, CDE); NCIC gives them corrections-type ORIs (...5C) that no public list carries; reviewed 2026-09-26"
Virginia,,Virginia DOC Law Enforcement Services,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and no state ORI list found; reviewed 2026-09-26"
Virginia,,Virginia Department of Corrections,,none,"not on the UCR rosters (LEAIC, LEAR, CDE) and the NCIC ORI file is not public; reviewed 2026-09-26"
