page,text,ori_tokens
390,GAINESVILLE SUPERIOR COURT HALL GA069018J HAMILTON COUNTY PRISON CAMP HARRIS GA072013C,GA069018J;GA072013C
390,aay COUNTY PROBATE COURT TONES aveson3) HAWKINSVILLE PRISON BRANCH PULASKI GA116015C,GA116015C
391,JASPER COUNTY CORONER'S OFFICE PICKENS GA112013M LA GRANGE COUNTY CORRECTIONAL TROUP GA141013C,GA112013M;GA141013C
391,JESUP PRISON BRANCH WAYNE GA151015C LAVONIA CITY ATTORNEY'S OFFICE FRANKLIN GA059011A,GA151015C;GA059011A
391,JONESBORO COUNTY DETENTION HOME CLAYTON GA031013C LAWRENCEVILLE COUNTY PROBATE COURT GWINNETT GA067043J,JONESBORO;DETENTION;GA031013C;GA067043J
392,LEESBURG COUNTY CORONER'S OFFICE LEE GA088013M MACON COUNTY DETENTION HOME BiBe GAO11013C,GA088013M;DETENTION;GAO11013C
392,LEESBURG PRISON BRANCH LEE GA0e8015C MACON COUNTY PROBATION OFFICE —_BIBB GA0110136,GA0E8015C;PROBATION;GA0110136
392,LOUISVILLE COUNTY PRISON JEFFERSON GA081043C MADISON COUNTY CORONER'S OFFICE © MORGAN GA104013M,JEFFERSON;GA081043C;GA104013M
392,LOUISVILLE PRISON BRANCH JEFFERSON GA081015C MADISON COUNTY PROBATE COURT MORGAN GA104013J,JEFFERSON;GA081015C;GA104013J
393,MCDONOUGH DISTRICT ATTORNEY HENRY GA07S5015A MONTICELLO PRISON CAMP JASPER GA079013C,MCDONOUGH;GA079013C
393,MILLEDGEVILLE COLONY FARMS PRISON CAMP BALDWIN GA005015C MOULTRIE PROBATION DEPARTMENT coLouirT GA035015G,GA005015C;PROBATION;GA035015G
393,MILLEDGEVILLE COUNTY SMALL CLAIMS COURT BALDWIN GA005033U MOUNT VERNON PRISON BRANCH MONTGOMERY GA103015C,GA005033U;GA103015C
393,MONROE COUNTY PRISON WALTON GA1470136 NEWNAN COUNTY SOLICITOR’S OFFICE © COWETA GA0S8023A,GA1470136;SOLICITOR;GA0S8023A
393,MONTEZUMA PRISON BRANCH BIBB GAO 10250 NEWTON COUNTY JUVENILE COURT BAKER GA004013U,MONTEZUMA;GA004013U
394,PEARSON COUNTY COURT ATKINSON GA002023J REIDSVILLE STATE PRISON TATTNALL GA132015C,GA002023J;GA132015C
394,PERRY COUNTY CORONER'S OFFICE HOUSTON GA076013M ROME BATTEY HOSPITAL PRISON FLOYD GA0S7015C,GA076013M;GA0S7015C
394,PERRY PRISON CAMP HOUSTON GA076013C ROME COUNTY PROBATE COURT FLOYD GA057033J,GA076013C;GA057033J
395,D SAVANNAH COUNTY DETENTION HOME 2 CHATHAM GA025023¢ STATESBORO CITY ATTORNEY'S OFFICE BULLOCH GA016011A,DETENTION;GA016011A
395,SAVANNAH COUNTY DETENTION HOME 1 = CHATHAM GA025013C STATESBORO COUNTY ATTORNEY'S OFFICE — BULLOCH GA016013A,DETENTION;GA025013C;GA016013A
395,SAVANNAH PRISON BRANCH CHATHAM GA025015C STATESBORO DISTRICT ATTORNEY BULLOCH GA016015A,GA025015C;GA016015A
395,SAVANNAH U. S. ATTORNEY CHATHAM GAO25017A STONE MOUNTAIN STONE MOUNTAIN PRISON DEKALB GA044025C,GAO25017A;GA044025C
397,VALDOSTA LOWNDES-TROUPEVILLE PRISON LOWNDES GA092015C SUPERIOR COURT,GA092015C
397,VALDOSTA U.S. DISTRICT COURT LOWNDES GA0920174 WAYCROSS WARE CORRECTIONAL WARE GA148015C,GA0920174;GA148015C
397,WARM SPRINGS MERIWETHER PRISON BRANCH MERIWETHER GA099015C WILLACOOCHEE MAYOR'S COURT ATKINSON Ga002021 J,GA099015C
398,HILO COUNTY PROSECUTOR'S OFFICE HAWAI! HI001013A KAILUA YOUTH CORRECTIONAL FACILITY HONOLULU H1002055C,HI001013A;H1002055C
398,HONOLULU JUVENILE DETENTION HOME = HONOLULU H10020456 WAHIAWA aca RURAL DISTRICT HONOLULU 110021584,DETENTION;H10020456;110021584
398,HONOLULU seoutt t 2045 WAILUKU DETENTION HOME SECOND _KAUAI Hi004025¢,DETENTION
398,STATE PRISON HONOLULU CIRCUIT COURT,
399,BOISE BOARD OF CORRECTIONS ADA 100010156 EMMETT COUNTY CORONER'S OFFICE GEM 10023013M,100010156;10023013M
399,BOISE STATE PENITENTIARY ADA 10001015C GRANGEVILLE CITY ATTORNEY'S OFFICE IDAHO 100250114,10001015C;100250114
400,POCATELLO JUVENILE DETENTION HOME = BANNOCK 10003013C TWIN FALLS PROSECUTING ATTORNEY'S TWIN FALLS 1D042013A,POCATELLO;DETENTION;10003013C;1D042013A
401,ANNA LEGAL ADVISORY’S OFFICE UNION ILOS1021A CARBONDALE DEPARTMENT OF CORRECTIONS JACKSON {L039015G,ILOS1021A
401,CORRECTIONS CARLINVILLE 7TH CIRCUIT COURT MACOUPIN 1L059015J,1L059015J
401,BENTON COUNTY CORONER'S OFFICE = FRANKLIN 11.028013M CHAMPAIGN DEPARTMENT OF CORRECTIONS CHAMPAIGN 10100256,CHAMPAIGN;CHAMPAIGN
402,CHICAGO DEPARTMENT OF CORRECTIONS COOK iL016035¢ BKON COUNTY PROBATION OFFICE LEE tosot9G,PROBATION
402,CHICAGO HOUSE OF CORRECTIONS COOK 1L016033C DUNDEE VILLAGE ATTORNEY'S OFFICE KANE 10450414,1L016033C
402,CORRECTIONALCENTER WOMEN,
402,CORRECTIONALCENTER EAST MOLINE CITY ATTORNEY'S OFFICE ROCK ISLAND —_IL081021A,
402,BOYS EAST ST. LOUIS DEPARTMENT OF CORRECTIONS ST CLAIR 10820256 @,
402,CHICAGO SOCIAL SERVICE DEPARTMENT COOK 110160836 EAST ST. LOUIS DEPARTMENT OF CORRECTIONS SANGAMON —_1L084015G,110160836
402,cuicago VILLAGE PROSECUTOR cooK overtta EDWARDSVILLE COUNTY DETENTION HOME MADISON 1L.060013C,DETENTION
403,GENEVA COUNTY CORRECTIONS COMPLE KANE 1L0450336 JACKSONVILLE COUNTY CORONER'S OFFICE MORGAN 1L069013M,1L0450336;1L069013M
403,SOLCONDA coury PORONERS OFFICE ope ioveoray JOLIET DEPARTMENT OF CORRECTIONS WILL 1L09g055C,1L09G055C
403,» GOLCONDA 1ST CIRCUIT COURT POPE 1L076016J JOLIET STATE PENITENTIARY AT Wik ILog9035C,1L076016J;ILOG9035C
403,GRAFTON PERE MARQUETTE BOYS CAMP JERSEY 1L042015C JOLIET STATE PENITENTIARY WILL 1L099025C,MARQUETTE;1L042015C;1L099025C
404,JOLIET STATE PENITENTIARY- WILL ILO99015C MAKANDA GIANT CITY STATE BOYS CAMP JACKSON 1L038018C,ILO99015C;1L038018C
404,JONESBORO STATE'S ATTORNEY UNION 1L091013A MARION FEDERAL PRISON CAMP WILLIAMSON #1000270,JONESBORO;1L091013A
404,JUSTICE VILLAGE ATTORNEY’S OFFICE COOK 1L016231A MARION U. S. PENITENTIARY WILLIAMSON IL100017C,1L016231A;IL100017C
404,LEWISTOWN COUNTY ADULT PROBATION FULTON 1L029013G MENARD MENARD CORRECTIONAL CENTE RANDOLPH ILO79015C,LEWISTOWN;PROBATION;1L029013G;ILO79015C
404,OFFICE MENARD STATE PENITENTIARY- RANDOLPH 1LO79025C,1LO79025C
404,LINCOLN 11TH CIRCUIT COURT LOGAN 1Lo54018J MOLINE DEPARTMENT OF CORRECTIONS ROCK ISLAND _ IL081015G,1LO54018J;IL081015G
405,NASHVILLE 90TH CIRCUIT COURT WASHINGTON (0960184 PEORIA DEPARTMENT OF CORRECTIONS PEORIA 1L072025G,NASHVILLE;1L072025G
405,OTTAWA COUNTY DETENTION HOME LASALLE 1L050013C PITTSFIELD 8TH CIRCUIT COURT PIKE 110750154,DETENTION;1L050013C;110750154
406,PONTIAC PONTIAC CORRECTIONAL CENT LIVINGSTON 1L053015C AUSHVILLE CITY ATTORNEY'S OFFICE SCHUYLER \L085011A,1L053015C;AUSHVILLE
406,ROCK HILLS CITY ATTORNEY'S OFFICE WHITESIDE ILO8011A SHERIDAN SHERIDAN CORRECTIONAL CEN LASALLE ILos0025¢,WHITESIDE
406,ROCK ISLAND U. S. MAGISTRATE ROCK ISLAND —_1L081027J CORRECTIONS,
406,ROCKFORD COUNTY JUVENILE DETENTION WINNEBAGO —_—IL101013C SPRINGFIELD COURT OF CLAIMS SANGAMON ——_IL064035J,DETENTION;WINNEBAGO;IL101013C
406,HOME SPRINGFIELD DEPARTMENT OF CORRECTIONS SANGAMON 1L084025C,1L084025C
406,ROCKFORD PROBATION DEPARTMENT {7TH WINNEBAGO —_{L101015G CORRECTIONS,PROBATION;WINNEBAGO
407,HEADQUARTERS VANDALIA VANDALIA CORRECTIONAL GEN FAYETTE 1L026015C,1L026015C
407,ST. CHARLES STATE TRAINING SCHOOL FOR KANE 1L045035C VIENNA STATE PENITENTIARY JOHNSON 1Lo4ao15c,1L045035C;1LO4AO15C
410,CLAYPOOL CLAY TOWNSHIP JUSTICE KOSCIUSKO IN043021J CROWN POINT COUNTY DETENTION HOME LAKE INo45023C,KOSCIUSKO;IN043021J;DETENTION;INO45023C
411,ENGLISH COUNTY PROBATION CRAWFORD INO13023G FRANKLIN DEPARTMENT OF CORRECTIONS JOHNSON IN041015G,PROBATION;INO13023G;IN041015G
412,GREENSBURG COUNTY CORONER'S OFFICE DECATUR INO16013M INDIANAPOLIS DEPARTMENT OF CORRECTIONS MARION INo49026G,INO16013M;INO49026G
412,HUNTINGBURG CITY ATTORNEY'S OFFICE DUBOIS NO19011A INDIANAPOLIS WOMEN’S PRISON MARION IN049015C,IN049015C
414,MARION COUNTY DETENTION HOME GRANT IN027013C MOUNT VERNON CITY ATTORNEY'S OFFICE POSEY INO65O11A,DETENTION;IN027013C;INO65O11A
414,MICHIGAN CITY STATE PRISON LA PORTE INO46015C NEW ALBANY COUNTY CORONER'S OFFICE — FLOYD INO22013M,INO46015C;INO22013M
416,SHOALS COUNTY PROBATION OFFICE = MARTIN INO51013G TERRE HAUTE FEDERAL PRISON CAMP VIGO iNO84027C,PROBATION;INO51013G;INO84027C
416,SOUTH BEND SUPERIOR COURT NO. 1 ST. JOSEPH INO71023J TERRE HAUTE U. S. PENITENTIARY VIGO INOB4017C,INO71023J;INOB4017C
420,DUBUQUE JUVENILE PROBATION OFFICE DUBUQUE 1A031015G FORT MADISON STATE PENITENTIARY LEE 1A056015C,PROBATION;1A031015G;1A056015C
428,JETMORE CITY ATTORNEY HODGEMAN KS042011A LANSING CORRECTIONAL INSTITUTION LEAVENWORTH — KS052015C,KS042011A;KS052015C
428,JETMORE COUNTY COURT HODGEMAN KS0420134 LANSING STATE PENITENTIARY LEAVENWORTH — KS052025C,KS0420134;KS052025C
428,KANSAS CITY COUNTY PAROLE OFFICE WYANDOTTE —_-KS105013G LEAVENWORTH FEDERAL PRISON CAMP LEAVENWORTH — KS052027C,WYANDOTTE;KS105013G;KS052027C
428,KANSAS CITY JUVENILE DETENTION HOME =» WYANDOTTE ~—=—KS105013C LEAVENWORTH U. S. DISTRICT COURT LEAVENWORTH — KS052017J,DETENTION;WYANDOTTE;KS105013C;KS052017J
428,KANSAS CITY U. 8. ATTORNEY WYANDOTTE —-KS105017A LEAVENWORTH U. S. PENITENTIARY LEAVENWORTH — KS052017C,WYANDOTTE;KS105017A;KS052017C
431,SHAWNEE CITY ATTORNEY JOHNSON KS046121A TOPEKA DEPARTMENT OF CORRECTION SHAWNEE K$089035C,KS046121A
431,TOPEKA ATTORNEY GENERAL SHAWNEE KSOB9015A WAKEENEY JUVENILE DETENTION HALL TREGO kS098013C,KSOB9015A;DETENTION;KS098013C
431,TOPEKA CORRECTIONAL VOCATIONAL SHAWNEE KS089045C WAMEGO CITY ATTORNEY POTTAWATOMIE KSO75021A,KS089045C;KSO75021A
432,WATHENA POLICE COURT DONIPHAN KS022031J WICHITA PRISON FARM SEDGWICK KS087011C,KS022031J;KS087011C
432,WICHITA JUVENILE DETENTION WARD — SEDGWICK KS087033C YATES. CENTER POLICE COURT WOODSON KS104011J,DETENTION;KS087033C;KS104011J
434,BOARD : COVINGTON JUVENILE DETENTION HOME JOHNSON KY058923C,COVINGTON;DETENTION;KY058923C
434,CHENOA DEPARTMENT OF CORRECTIONS BELL KY007015C DANVILLE COUNTY QUARTERLY COURT — BOYLE KYOH1013J,KY007015C;QUARTERLY;KYOH1013J
434,COVINGTON CITY POLICE COURT KENTON KY059051J EDDYVILLE STATE PENITENTIARY LYON KY072015C,COVINGTON;KY059051J;EDDYVILLE;KY072015C
436,DETENTIONHOME JENKINS CITY POLICE COURT LETCHER KYO67011J,KYO67011J
437,LEXINGTON FEDERAL CORRECTIONAL N/A KY034027C,LEXINGTON;KY034027C
437,LEXINGTON FEDERAL CORRECTIONAL N/A Kv0340170 LOUISVILLE U. $. PROBATION OFFICE JEFFERSON KY056017G,LEXINGTON;KV0340170;PROBATION;JEFFERSON;KY056017G
439,PEEWEE VALLEY CORRECTIONAL INSTITUTION OLDHAM Ky093025C RUSSELLVILLE COUNTY PROBATION'S OFFICE LOGAN KYO71013G,KY093025C;PROBATION;KYO71013G
442,ANGOLA STATE PENITENTIARY WEST FELICIANA LA063015C BROUSSARD MAYOR'S COURT LAFAYETTE LA02801 14,FELICIANA;LA063015C;BROUSSARD;LAFAYETTE
442,BATON ROUGE DEPARTMENT OF CORRECTIONS EAST BATON _LAO17035C COTTONPORT CORONER'S OFFICE AVOYELLES ———_LA005013M,AVOYELLES
442,ROUGE DE QUINCY CORRECTIONAL AND CALCASIEU LAQ10015C,CALCASIEU;LAQ10015C
443,FRANKLIN DISTRICT ATTORNEY ST.MARY LAOSI015A LAFAYETTE DEPARTMENT OF CORRECTIONS LAFAYETTE LA028013G,LAOSI015A;LAFAYETTE;LAFAYETTE;LA028013G
443,GRETNA onoaarion AND PAROLE JEFFERSON Lane609s@ LAKE CHARLES JUVENILE DETENTION CENTER — CALCASIEU LA010013C,ONOAARION;JEFFERSON;DETENTION;CALCASIEU;LA010013C
443,HARRISONBURG TH DISTRICT COURT CATAHOULA LA013015) LAKE PROVIDENCE PRISON DISTRICT 1 JUDICIAL EAST CARROLL LA018013C,CATAHOULA;LA018013C
444,MONROE GREEN OAKS DETENTION HOME OUACHITA LA037013C OAK GROVE DISTRICT ATTORNEY WEST CARROLL LA062015A,DETENTION;LA037013C;LA062015A
444,NEW ORLEANS HOUSE OF DETENTION ORLEANS LA0360216 RAYNE CITY COURT ACADIA LA0010234,DETENTION;LA0360216;LA0010234
444,NEW ORLEANS PARISH PRISON ORLEANS LA036011C SHREVEPORT CITY ATTORNEY'S OFFICE CADDO LA009011A,LA036011C;LA009011A
444,NEW ORLEANS SUPREME COURT ORLEANS LA036035J SHREVEPORT PARISH CORRECTION CADDO LAQ09013C ©,LA036035J;LAQ09013C
445,ST. GABRIEL CORRECTIONAL INSTITUTE FO IBERVILLE LA024015C VIAN JUSTICE OF PEACE COURT canoo «00090113,INSTITUTE;IBERVILLE;LA024015C
446,HEALTH & CORRECTIONS MACHIAS PROBATION & PAROLE DISTRICT WASHINGTON — ME015015G,PROBATION;ME015015G
446,"ELLSWORTH STH DISTRICT COURT HANCOCK ME005025,) SOUTH WINDHAM MEN’S CORRECTIONAL CENTER CUMBERLAND = ME003015C",ELLSWORTH;ME003015C
446,FARMINGTON COUNTY ATTORNEY'S OFFICE = FRANKLIN ME004013A THOMASTON - STATE PRISON KNOX ME007015C,ME004013A;THOMASTON;ME007015C
447,ANNAPOLIS COUNTY DETENTION CENTER © ANNE ARUNDEL MD002013C BEL AIR COUNTY PROBATION HARFORD MD013013 G,ANNAPOLIS;DETENTION;MD002013C;PROBATION
447,BALTIMORE DIVISION OF CORRECTIONS INDEPENDENT MD004025C CENTERVILLE STATE ATTORNEY'S OFFICE QUEEN ANNES MD01901<3A,BALTIMORE;MD004025C
447,BALTIMORE DIVISION OF CORRECTIONS BALTIMORE MD003025C CHELTENHAM BOY'S VILLAGE OF MARYLAND PRINCE GEORG. MD017025C,BALTIMORE;BALTIMORE;MD003025C;MD017025C
447,BALTIMORE GROUP HOME FOR GIAL’S INDEPENDENT — MD004075C CHU Ite EASTERN CORRECTIONAL CAMP QUEEN ANNES — MD01801 5G,BALTIMORE;MD004075C
448,FREDERICK COUNTY JUVENILE PROBATION FREDERICK MD011013G QUANTICO POPLAR HILL CORRECTIONAL WICOMICO D023015C,FREDERICK;PROBATION;FREDERICK;MD011013G
448,HAGERSTOWN CITY ATTORNEY'S OFFICE WASHINGTON MD022011A ROCKVILLE COUNTY DETENTION CENTER MONTGOMERY 00160130,MD022011A;ROCKVILLE;DETENTION
448,HAGERSTOWN STATE CORRECTIONAL WASHINGTON —_ MD022025C SABILLASVILLE VICTOR F. CULLEN TRAINING FREDERICK MD011015C,MD022025C;FREDERICK;MD011015C
448,HAGERSTOWN STATE CORRECTIONAL WASHINGTON MD022015C SALISBURY COUNTY ORPHAN'S COURT WICOMICO MD023023J,MD022015C;SALISBURY;MD023023J
448,CORRECTIONAL CAMP SNOW HILL STATE ATTORNEY'S OFFICE WORCESTER MD024019A @,WORCESTER;MD024019A
448,JESSUP CORRECTIONAL CAMP CENTER ANNE ARUNDEL MD002025C TOWSON COUNTY ORPHAN'S COURT BALTIMORE MD003033J,MD002025C;BALTIMORE;MD003033J
448,JESSUP CORRECTIONAL INSTITUTION ANNE ARUNDEL MD002015C TOWSON PATENT BALTIMORE =——_- MD0030196,MD002015C;BALTIMORE;MD0030196
448,JESSUP HOUSE OF CORRECTION ANNE ARUNDEL MD002035C TOWSON ooo BALTIMORE = 400030236,MD002035C;BALTIMORE;400030236
448,LA PLATA STATE ATTORNEY'S OFFICE CHARLES wD009023A UPPER MARLBORO COUNTY DETENTION CENTER PRINCE GEORG- MD017013C,WD009023A;DETENTION;MD017013C
449,AYER COUNTY PROBATION MIDDLESEX MAQ091236 BRIOGEWATER CORRECTIONAL INSTITUTE PLYMOUTH MAQ12025C,PROBATION;MIDDLESEX;MAQ091236;INSTITUTE;MAQ12025C
449,CORRECTIONS BROCKTON COUNTY SUPERIOR COURT PLYMOUTH MAG12073J,MAG12073J
449,BOSTON DEPARTMENT OF CORRECTIONS SUFFOLK MA013095C CHICOPEE sOSTCT GGURT OFFICE = HAMPDEN MA007033G,MA013095C;MA007033G
449,DIVISION CORRECTIONS,
450,EAST CAMBRIDGE COUNTY. SUPERIOR COURT MIDDLESEX MA009013J CORRECTIONS,CAMBRIDGE;MIDDLESEX;MA009013J
450,FRAMINGHAM CORRECTIONAL INSTITUTE MIDDLESEX MA009025C MALDEN FIRST DISTRICT COURT MIDDLESEX MA009083),INSTITUTE;MIDDLESEX;MA009025C;MIDDLESEX
450,GLOUCESTER COUNTY DISTRICT COURT ESSEX MA0050134 MONROE RIDGE CORRECTIONAL INSTITUTE FRANKLIN MA006025C,MA0050134;INSTITUTE;MA006025C
450,GREAT BARRINGTON COUNTY DISTRICT COURT BERKSHIRE MA002033J CORRECTIONS,BERKSHIRE;MA002033J
450,"DEPARTMENT, DISTRICT CORRECTIONS",
450,IPSWICH THIRD DISTRICT COURT ESSEX MA005103J NORFOLK CORRECTIONAL INSTITUTE NORFOLK MAQ11025C,MA005103J;INSTITUTE;MAQ11025C
451,ORANGE CORRECTIONAL INSTITUTE FRANKLIN MA006015C SPRINGFIELD COUNTY SUPERIOR COURT SPR HAMPDEN MA007013J,INSTITUTE;MA006015C;MA007013J
451,CORRECTIONS SUPERIOR COURT,
451,"PLYMOUTH CORRECTIONAL INSTITUTE PLYMOUTH MA012015C DEPARTMENT, SECOND",INSTITUTE;MA012015C
451,SALEM COUNTY JAIL AND HOUSE OF — ESSEX MA005013C WEST CONCORD CORRECTIONAL INSTITUTE MIDDLESEX MA009015C,MA005013C;INSTITUTE;MIDDLESEX;MA009015C
451,CORRECTIONS WEST NEWTON COUNTY PROBATION MIDDLESEX MA009103G,PROBATION;MIDDLESEX;MA009103G
451,SALEM DISTRICT ATTORNEY'S OFFICE ESSEX MAO05015A WESTFIELD COUNTY DETENTION CENTER = HAMPDEN MA00701 SC,MAO05015A;WESTFIELD;DETENTION
451,SOUTH WALPOLE CORRECTIONAL INSTITUTE NORFOLK MA011015C WILLIAMSTOWN U. S. MAGISTRATE BERKSHIRE MA0020274,INSTITUTE;MA011015C;BERKSHIRE;MA0020274
452,CORRECTIONS WORCESTER DISTRICT ATTORNEY'S OFFICE WORCESTER © MAOI4015A,WORCESTER;WORCESTER;MAOI4015A
452,WORCESTER COUNTY DETENTION CENTER WORCESTER — MAQ14015C SUPERIOR COURT,WORCESTER;DETENTION;WORCESTER;MAQ14015C
453,ALPENA CORRECTION CENTER ALPENA Ml040015C BALDWIN COUNTY MEDICAL EXAMINER LAKE MI430013M,ML040015C;MI430013M
453,ANN ARBOR CORRECTION CENTER WASHTENAW —MI810075C BAY CITY CORRECTION CENTER BAY Mi0g0015C,WASHTENAW;MI810075C;MI0G0015C
454,BAY CITY COURT PROBATION OFFICE BAY Ml0900116 CADILLAC CORRECTION CENTER WEXFORD Mig30025C,PROBATION;ML0900116;MIG30025C
454,CADILLAC CAMP HOXEY WORK CAMP WEXFORD MI830015C CHARLEVOIX CORRECTION CENTER CHARLEVOIX —-MI150015C,MI830015C;MI150015C
455,CHEBOYGAN CORRECTION CENTER CHEBOYGAN —- MI160015C 66TH DISTRICT COURT,CHEBOYGAN;CHEBOYGAN;MI160015C
455,CLIO CITY ATTORNEY'S OFFICE GENESEE MI250011A DETROIT CORRECTIONS CENTER WAYNE wig20015C,MI250011A;WIG20015C
456,DETROIT WOMEN'S CORRECTIONS WAYNE mi820025C FLINT COUNTY MEDICAL EXAMINER GENESEE MI250013M,MI820025C;MI250013M
456,EAGEL RIVER COUNTY PROBATE COURT KEWEENAW Ml420013J FLINT STATE CORRECTION CENTER GENESEE Ml250015C,ML420013J;ML250015C
456,ESCANABA CORRECTION CENTER DELTA mi210015¢ GALESBURG CITY PROSECUTOR'S OFFICE KALAMAZOO —MI390011A,GALESBURG;KALAMAZOO;MI390011A
457,GRAND HAVEN CORRECTION CENTER OTTAWA uiroootsc GROSSE POINTE FARMS CITY ATTORNEY'S OFFICE WEXFORD mig30091 A,UIROOOTSC
457,GRAND RAPIDS STATE CORRECTION CENTER KENT Mi410015C HART COUNTY JUVENILE OCEANA Mi640023G,MI410015C;MI640023G
458,2NOISTRICT COURT IRON MOUNTAIN CORRECTION CENTER DICKINSON Mi220015C @,DICKINSON;MI220015C
458,HOLLAND CORRECTION CENTER OTTAWA Mi700026C IRON MOUNTAIN COUNTY PROBATION OFFICE IRON 13600136,MI700026C;PROBATION
458,HOUGHTON 12TH CIRCUIT COURT HOUGHTON MI310015J IRONWOOD CORRECTION CENTER GOGEBIC Mi270025C,MI310015J;MI270025C
459,JACKSON CORRECTION CENTER JACKSON MIg80055C OFFICE,MIG80055C
459,JACKSON STATE PRISON OF SOUTHERN JACKSON MI380045C LANSE COUNTY PROBATION OFFICE ONTONAGON MI660013G,MI380045C;PROBATION;ONTONAGON;MI660013G
459,KALAMAZOO CORRECTION CENTER KALAMAZOO —&€MI390035C LANSING BOY'S TRAINING SCHOOL INGHAM Mi330015C,KALAMAZOO;KALAMAZOO;MI390035C;MI330015C
459,] PROBATIONDEPARTMENT LANSING CORRECTION CENTER INGHAM MI330025C>,MI330025C
459,KALAMAZOO PINE LAKE CORRECTION KALAMAZOO = MI390015¢ LANSING DEPARTMENT OF CORRECTIONS INGHAM MI330035C,KALAMAZOO;KALAMAZOO;MI330035C
459,CENTER LANSING MICHIGAN CORRECTIONS INGHAM Mi330045C,MI330045C
460,LUDINGTON CORRECTION CENTER MASON MIs30025C MARSHALL ‘COUNTY PROBATE COURT CALHOUN Mi130023I.,LUDINGTON;MIS30025C;MI130023I
460,MANISTEE CORRECTION CENTER MANISTEE MI510015C MASON 85TH DISTRICT COURT INGHAM Maz00854,MI510015C
460,MANISTEE COUNTY PROBATE COURT MANISTEE Ml510013J MENOMINEE CORRECTION CENTER MENOMINEE _-MI880018¢,ML510013J;MENOMINEE;MENOMINEE
460,MANISTIQUE COUNTY PROSECUTOR'S OFFICE SCHOOLCRAFT MI770013A MIDLAND CORRECTION CENTER MIDLAND MI560015C,MI770013A;MI560015C
460,MARQUETTE BRANCH PRISON MARQUETTE Mi520015C MIDLAND PAROLE OFFICE MIDLAND MI560015G,MARQUETTE;MARQUETTE;MI520015C;MI560015G
461,MILAN FEDERAL CORRECTIONAL WASHTENAW MI810017C MT. PLEASANT COUNTY PROBATION OFFICE GLADWIN MI260013G,WASHTENAW;MI810017C;PROBATION;MI260013G
461,MONROE CORRECTION CENTER MONROE MI580015C MUNISING COUNTY PROSECUTOR'S OFFICE ALGER Mlo20013A,MI580015C;MLO20013A
461,OFFICE MUSKEGON CORRECTION'S CENTER MUSKEGON MI610015C,MI610015C
461,MONROE PAROLE OFFICE MONROE wise001sG MUSKEGON MUSKEGON CORRECTION MUSKEGON Mi610035C,WISE001SG;MI610035C
461,MT. PLEASANT CORRECTION CENTER {SABELLA MI370015C OAK PARK 45-B DISTRICT COURT OAKLAND Ml630115J,MI370015C;ML630115J
462,PAW PAW COURT PROBATION OFFICE VAN BUREN MI800011G PORT HURON CORRECTIONS CENTER SAINT CLAIR M7405,PROBATION;MI800011G
462,PETOSKEY CORRECTION CENTER EMMET Mi240025C PORT HURON PAROLE OFFICE SAINT CLAIR MI740015G,MI240025C;MI740015G
462,PLYMOUTH DETENTION HOUSE OF WAYNE 182001 1C RIVER ROUGE CITY ATTORNEY'S OFFICE WAYNE MI820221A,DETENTION;MI820221A
462,CORRECTIONS RIVER ROUGE 26TH DISTRICT COURT (MUN) WAYNE Mi820255J,MI820255J
462,PLYMOUTH WOMEN'S CORRECTIONAL WAYNE Mi820055C RIVERVIEW CITY PROBATION DEPARTMENT WAYNE MI820071G,MI820055C;RIVERVIEW;PROBATION;MI820071G
462,PONTIAC CORRECTION CENTER OAKLAND Mi630025C ROCKFORD CITY ATTORNEY'S OFFICE KENT MI410051A,MI630025C;MI410051A
463,ROMEO CITY ATTORNEY'S OFFICE MACOMB MI500091A SAINT JOSEPH BENTON HARBOR CORRECTION BERRIEN MI110015C,MI500091A;MI110015C
463,SAGINAW CORRECTIONS CENTER SAGINAW MI730015C SAULT STE MARIE COUNTY PROBATE COURT CHIPPEWA MI170023J,MI730015C;MI170023J
463,SAGINAW U. 8. MAGISTRATE SAGINAW MI730017J SAULT STE. MARIE CORRECTION CENTER MACKINAG Ml490015C,MI730017J;ML490015C
464,SPRINGFIELD CITY ATTORNEY'S OFFICE CALHOUN MI130051A TRAVERSE CITY CORRECTION CENTER GRAND TRA- —- MI280025C,MI130051A;MI280025C
464,ST. JOSEPH CORRECTION CENTER BERRIEN Mit y0026C TRAVERSE CITY COUNTY PROBATE COURT GRAND TRA. —_Ml280013J,
464,TAWAS CITY CORRECTION CENTER 10SCO MI350015C VICKSBURG CITY ATTORNEY'S OFFICE KALAMAZOO —MIS90051A,MI350015C;VICKSBURG;KALAMAZOO;MIS90051A
467,CAMBRIDGE COUNTY CORONER'S OFFICE SANTI MNO30013M CORRECTIONAL CENTER,CAMBRIDGE;MNO30013M
470,MAPLEWOOD COUNTY COURT DIVISION 6 RAMSEY MN062063J MOOSE LAKE PENAL CAMP | CARLTON unooso1sc,MAPLEWOOD;MN062063J;UNOOSO1SC
472,CORRECTION CENTER ST. LOUIS PARK MUNICIPAL COURT HENNEPIN MNOG27051d,MUNICIPAL
472,SLAYTON COUNTY CORONER'S OFFICE MURRAY MNO51013M CORRECTIONS FIELD,MNO51013M
472,PAROLE OFFICE CORRECTIONS,
